flowrate,pv,pv_minus_mode
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0.05,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0.04,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
0,0.577661,-0.003223
